Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
"fsp1DISCV0;fsp1SOMCV0;fsp1CTMCV0";p1;p2;;hello ; hello ;;;;;;;;dap1DIS0: opening;dap1SOM0: initGreeting;dap1CTM0:contactManagement:contactIndication;;
"fsp2DISCV0;fsp2SOMCV0;fsp2CTMCV0";p2;p1;;hello ; hello ;;;;;;;;dap2DIS0: opening(Fu:dap1DIS0);dap2SOM0: returnGreeting(Fu:dap1SOM0);dap2CTM0:contactManagement:contactIndication;;
"fsp1TUMCV0;fsp1TIMCV0";p1;p2;;uhm good afternoon almost evening uhm what is your name ; uhm ;;;;dap1TUM0: turnTake;dap1TIM0: stalling;;;;;;;
fsp1SOMCV1;p1;p2;;; good afternoon almost evening ;;;;;;;;;dap1SOM1: initGreeting;;;
"fsp1TUMCV1;fsp1TIMCV1";p1;p2;;; uhm ;;;;dap1TUM1: turnKeep;dap1TIM1: stalling;;;;;;;
fsp1SOMCV2;p1;p2;;; what is your name ;;;;;;;;;dap1SOM2: setQuestion;;;
"fsp2TSKCV0;fsp2SOMCV1";p2;p1;;my name is nikolina ; my name is nikolina ;dap2TSK0: setAnswer(Fu:dap1TSK0);;;;;;;;dap2SOM1: initSelfIntroduction(Fu:dap1SOM2);;;
fsp1SOMCV3;p1;p2;;hello nikolina it's nice to meet you nikolina ; hello nikolina its nice to meet you ;;;;;;;;;dap1SOM3: initGreeting;;;
fsp1OCMCV0;p1;p2;;; nikolina ;;;;;;dap1OCM0: selfCorrection(Fe:fsp1OCMFB0);;;;;;
fsp2SOMCV2;p2;p1;;Nice to meet you ; Nice to meet you ;;;;;;;;;dap2SOM2: returnGreeting(Fu:dap1SOM3);;;
"fsp1TUMCV2;fsp1TIMCV2";p1;p2;;uhm so how are you doing today ; uhm ;;;;dap1TUM2: turnTake;dap1TIM2: stalling;;;;;;;
"fsp1TIMCV3;fsp1DISCV1";p1;p2;;; so ;;;;;dap1TIM3: stalling;;;dap1DIS1: interactionStructuring;;;;
fsp1SOMCV4;p1;p2;;; how are you doing today ;;;;;;;;;dap1SOM4: setQuestion;;;
"fsp2TSMCV0;fsp2SOMCV3";p2;p1;;good thank you ; good ;;;;;;;;;dap2SOM3: setAnswer(Fu:dap1SOM4);dap2TSM0:taskManagement:answer(Fu:dap1TSM1);;
fsp2SOMCV4;p2;p1;;; thank you ;;;;;;;;;dap2SOM4: thanking(Fe:fsp2SOMFB4);;;
"fsp1AUFCV0;fsp1TUMCV3";p1;p2;;alright alright so today we are going to play a game and here are the rules i'm a very famous person and you need to guess my name you can ask whatever questions you want of me except for my name directly uhm you have at most ten questions and then you get to guess my name exactly once so you can ask whatever questions you want but then if you want to guess my name you only get one try uhm if you get my name correct you win if you get my name incorrect or choose to pass then you lose uhm and then we'll move on to the next round do you understand and are comfortable with the rules uh ; alright ;;dap1AUF0: autoPositive(Fe:fsp1AUFFB0);;dap1TUM3: turnTake;;;;;;;;
fsp1DISCV2;p1;p2;;; alright so ;;;;;;;;dap1DIS2: interactionStructuring;;;;
fsp1TSMCV0;p1;p2;;; today we are going to play a game and here are the rules ;;;;;;;;;;dap1TSM0:taskManagement:inform;;
fsp1TSMCV1;p1;p2;;; im a very famous person ;;;;;;;;;;dap1TSM1:taskManagement:inform;;
fsp1TSMCV2;p1;p2;;; and you need to guess my name ;;;;;;;;;;dap1TSM2:taskManagement:inform;;
fsp1TSMCV3;p1;p2;;; you can ask whatever questions you want of me except for my name directly ;;;;;;;;;;dap1TSM3:taskManagement:instruct;;
"fsp1TUMCV4;fsp1TIMCV4";p1;p2;;; uhm ;;;;dap1TUM4: turnKeep;dap1TIM4: stalling;;;;;;;
fsp1TSMCV4;p1;p2;;; you have at most ten questions ;;;;;;;;;;dap1TSM4:taskManagement:inform;;
fsp1TSMCV5;p1;p2;;; and then you get to guess my name exactly once ;;;;;;;;;;dap1TSM5:taskManagement:instruct;;
fsp1TSMCV6;p1;p2;;; so you can ask whatever questions you want ;;;;;;;;;;dap1TSM6:taskManagement:instruct {elaboration dap1TSM4};;
fsp1TSMCV7;p1;p2;;; but then if you want to guess my name you only get one try ;;;;;;;;;;dap1TSM7:taskManagement:instruct {elaboration dap1TSM5};;
"fsp1TUMCV5;fsp1TIMCV5";p1;p2;;; uhm ;;;;dap1TUM5: turnKeep;dap1TIM5: stalling;;;;;;;
fsp1TSMCV8;p1;p2;;; if you get my name correct you win ;;;;;;;;;;dap1TSM8:taskManagement:inform;;
fsp1TSMCV9;p1;p2;;; if you get my name incorrect or choose to pass then you lose ;;;;;;;;;;dap1TSM9:taskManagement:inform;;
"fsp1TUMCV6;fsp1TIMCV6";p1;p2;;; uhm ;;;;dap1TUM6: turnKeep;dap1TIM6: stalling;;;;;;;
fsp1TSMCV10;p1;p2;;; and then well move on to the next round ;;;;;;;;;;dap1TSM10:taskManagement:inform;;
fsp1TSMCV11;p1;p2;;; do you understand and are comfortable with the rules ;;;;;;;;;;dap1TSM11:taskManagement:propositionalQuestion;;
"fsp1TUMCV7;fsp1TIMCV7";p1;p2;;; uh ;;;;dap1TUM7: turnKeep;dap1TIM7: stalling;;;;;;;
fsp2TSMCV1;p2;p1;;yeah yeah so the name is kind of a famous person yeah yeah okay ; yeah yeah ;;;;;;;;;;dap2TSM1:taskManagement:propositionalAnswer(Fu:dap1TSM11);;
fsp2AUFCV0;p2;p1;;; so the name is kind of a famous person yeah ;;dap2AUF0: checkQuestion(Fe:fsp2AUFFB0);;;;;;;;;;
fsp2ALFCV0;p2;p1;;; yeah ;;;dap2ALF0: feedbackElicitation(Fe:fsp2ALFFB0);;;;;;;;;
fsp2AUFCV1;p2;p1;;; okay ;;dap2AUF1: autoPositive;;;;;;;;;;
fsp1ALFCV0;p1;p2;;yes i am a famous person and ; yes ;;;dap1ALF0: confirm(Fu:dap2AUF0);;;;;;;;;
fsp1TSMCV12;p1;p2;;; i am a famous person and ;;;;;;;;;;dap1TSM12:taskManagement:inform(Fu:dap2TSM3) {elaboration dap1ALF0};;
fsp2TSKCV1;p2;p1;;i'm not sure how good am i in this area i'm not sure i in this area ; im not sure how good am i in this area ;dap2TSK1: inform[uncertain];;;;;;;;;;;
fsp2TUMCV0;p2;p1;;; im not sure ;;;;dap2TUM0: turnGrab;;;;;;;;
fsp2TUMCV1;p2;p1;;; i in this area ;;;;dap2TUM1: turnGrab;;;;;;;;
fsp1TSMCV13;p1;p2;;and i am also always male ; and i am also always male ;;;;;;;;;;dap1TSM13:taskManagement:inform {elaboration dap1ALF0};;
fsp2AUFCV2;p2;p1;;okay okay good ; okay okay ;;dap2AUF2: autoPositive(Fe:fsp2AUFFB2);;;;;;;;;;
fsp2AUFCV3;p2;p1;;; good ;;dap2AUF3: autoPositive(Fe:fsp2AUFFB3);;;;;;;;;;
"fsp1TUMCV8;fsp1DISCV3";p1;p2;;alright so uhm let's begin and what is your first question what is your first question ; alright ;;;;dap1TUM8: turnTake;;;;dap1DIS3: interactionStructuring;;;;
"fsp1TUMCV9;fsp1TIMCV8";p1;p2;;; so uhm ;;;;dap1TUM9: turnKeep;dap1TIM8: stalling;;;;;;;
fsp1TSMCV14;p1;p2;;; lets begin ;;;;;;;;;;dap1TSM14:taskManagement:suggest;;
fsp1TSMCV15;p1;p2;;; and what is your first question ;;;;;;;;;;dap1TSM15:taskManagement:request;;
fsp1TSKCV0;p1;p2;;; what is your first question ;dap1TSK0: setQuestion;;;;;;;;;;;
fsp2AUFCV4;p2;p1;;what is the first question so what do you do ; what is the first question ;;dap2AUF4: autoPositive(Fe:fsp2AUFFB4);;;;;;;;;;
"fsp2TUMCV2;fsp2TIMCV0";p2;p1;;; so ;;;;dap2TUM2: turnKeep;dap2TIM0: stalling;;;;;;;
fsp2TSKCV2;p2;p1;;; what do you do ;dap2TSK2: setQuestion;;;;;;;;;;;
fsp1TSKCV1;p1;p2;;i am a leader ; i am a leader ;dap1TSK1: setAnswer(Fu:dap2TSK2);;;;;;;;;;;
fsp2AUFCV5;p2;p1;;a leader uhm what is your nationality ; a leader ;;dap2AUF5: autoPositive(Fe:fsp2AUFFB5);;;;;;;;;;
"fsp2TUMCV3;fsp2TIMCV1";p2;p1;;; uhm ;;;;dap2TUM3: turnKeep;dap2TIM1: stalling;;;;;;;
fsp2TSKCV3;p2;p1;;; what is your nationality ;dap2TSK3: setQuestion;;;;;;;;;;;
fsp1TSKCV2;p1;p2;;i am american ; i am american ;dap1TSK2: setAnswer(Fu:dap2TSK3);;;;;;;;;;;
fsp2AUFCV6;p2;p1;;american are you alive ; american ;;dap2AUF6: autoPositive(Fe:fsp2AUFFB6);;;;;;;;;;
fsp2TSKCV4;p2;p1;;; are you alive ;dap2TSK4: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV3;p1;p2;;i am not alive ; i am not alive ;dap1TSK3: propositionalAnswer(Fu:dap2TSK4);;;;;;;;;;;
"fsp2AUFCV7;fsp2TIMCV2";p2;p1;;you're not alive okay so are you a are you leading a company are you leading ; youre not alive ;;dap2AUF7: autoPositive(Fe:fsp2AUFFB7);;;dap2TIM2: stalling;;;;;;;
"fsp2AUFCV8;fsp2TUMCV4;fsp2TIMCV3";p2;p1;;; okay ;;dap2AUF8: autoPositive(Fe:fsp2AUFFB8);;dap2TUM4: turnKeep;dap2TIM3: stalling;;;;;;;
"fsp2TUMCV5;fsp2TIMCV4";p2;p1;;; so ;;;;dap2TUM5: turnKeep;dap2TIM4: stalling;;;;;;;
fsp2TSKCV5;p2;p1;;; are you a ;dap2TSK5: propositionalQuestion;;;;;;;;;;;
fsp2TSKCV6;p2;p1;;; are you leading a company ;dap2TSK6: propositionalQuestion;;;;;;;;;;;
fsp2OCMCV0;p2;p1;;; are you leading ;;;;;;dap2OCM0: selfCorrection(Fe:fsp2OCMFB0);;;;;;
fsp1TSKCV4;p1;p2;;i am not leading a company and i also want to make sure you understand you are not confined to yes or no questions you may ask whatever you wish ; i am not leading a company ;dap1TSK4: propositionalAnswer(Fu:dap2TSK6);;;;;;;;;;;
fsp1TSMCV16;p1;p2;;; and i also want to make sure you understand you are not confined to yes or no questions ;;;;;;;;;;dap1TSM16:taskManagement:instruct;;
fsp1TSMCV17;p1;p2;;; you may ask whatever you wish ;;;;;;;;;;dap1TSM17:taskManagement:instruct {elaboration dap1TSM16};;
fsp2AUFCV9;p2;p1;;okay so you're not a company leader so hm when are you born ; okay ;;dap2AUF9: autoPositive(Fe:fsp2AUFFB9);;;;;;;;;;
"fsp2TUMCV6;fsp2TIMCV5";p2;p1;;; so ;;;;dap2TUM6: turnKeep;dap2TIM5: stalling;;;;;;;
fsp2AUFCV10;p2;p1;;; youre not a company leader ;;dap2AUF10: autoPositive(Fe:fsp2AUFFB10);;;;;;;;;;
"fsp2TUMCV7;fsp2TIMCV6";p2;p1;;; so ;;;;dap2TUM7: turnKeep;dap2TIM6: stalling;;;;;;;
"fsp2TUMCV8;fsp2TIMCV7";p2;p1;;; hm ;;;;dap2TUM8: turnKeep;dap2TIM7: stalling;;;;;;;
fsp2TSKCV7;p2;p1;;; when are you born ;dap2TSK7: setQuestion;;;;;;;;;;;
fsp1TSKCV5;p1;p2;;i was born on february twenty second seventeen thirty two ; i was born on february twenty second seventeen thirty two ;dap1TSK5: setAnswer(Fu:dap2TSK7);;;;;;;;;;;
fsp2AUFCV11;p2;p1;;seventeen thirty two ok eehm are a politician ; seventeen thirty two ;;dap2AUF11: autoPositive(Fe:fsp2AUFFB11);;;;;;;;;;
"fsp2AUFCV12;fsp2TUMCV9";p2;p1;;; ok ;;dap2AUF12: autoPositive(Fe:fsp2AUFFB12);;dap2TUM9: turnKeep;;;;;;;;
"fsp2TUMCV10;fsp2TIMCV8";p2;p1;;; eehm ;;;;dap2TUM10: turnKeep;dap2TIM8: stalling;;;;;;;
fsp2TSKCV8;p2;p1;;; are a politician ;dap2TSK8: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV6;p1;p2;;i am a politician ; i am a politician ;dap1TSK6: propositionalAnswer(Fu:dap2TSK8);;;;;;;;;;;
fsp2AUFCV13;p2;p1;;okay so then it is not my area but i will try to guess a politician so so when were you in the goverment ; okay ;;dap2AUF13: autoPositive(Fe:fsp2AUFFB13);;;;;;;;;;
fsp2AUFCV14;p2;p1;;; so then it is not my area ;;dap2AUF14: inform(Fe:fsp2AUFFB14);;;;;;;;;;
fsp2TSMCV2;p2;p1;;; but i will try to guess ;;;;;;;;;;dap2TSM2:taskManagement:promise {contrast dap2AUF14};;
fsp2AUFCV15;p2;p1;;; a politician ;;dap2AUF15: autoPositive(Fe:fsp2AUFFB15);;;;;;;;;;
fsp2TIMCV9;p2;p1;;; so ;;;;;dap2TIM9: stalling;;;;;;;
fsp2TUMCV11;p2;p1;;; so ;;;;dap2TUM11: turnTake;;;;;;;;
fsp2TSKCV9;p2;p1;;; when were you in the goverment ;dap2TSK9: setQuestion;;;;;;;;;;;
"fsp1TUMCV10;fsp1TIMCV9";p1;p2;;uhm let's see uh this must be okay uhm i retired from the presidency in seventeen ninety seven i retired ; uhm ;;;;dap1TUM10: turnAccept;dap1TIM9: stalling;;;;;;;
"fsp1TUMCV11;fsp1TIMCV10";p1;p2;;; lets see ;;;;dap1TUM11: turnKeep;dap1TIM10: pausing;;;;;;;
"fsp1TUMCV12;fsp1TIMCV11";p1;p2;;; uh ;;;;dap1TUM12: turnKeep;dap1TIM11: stalling;;;;;;;
fsp1TSKCV7;p1;p2;;; this must be ;dap1TSK7: setAnswer[uncertain](Fu:dap2TSK9);;;;;;;;;;;
"fsp1AUFCV1;fsp1TUMCV13";p1;p2;;; okay ;;dap1AUF1: autoPositive(Fe:fsp1AUFFB1);;dap1TUM13: turnKeep;;;;;;;;
"fsp1TUMCV14;fsp1TIMCV12";p1;p2;;; uhm ;;;;dap1TUM14: turnKeep;dap1TIM12: stalling;;;;;;;
fsp1TSKCV8;p1;p2;;; i retired from the presidency in seventeen ninety seven ;dap1TSK8: setAnswer(Fu:dap2TSK9);;;;;;;;;;;
fsp1OCMCV1;p1;p2;;; i retired ;;;;;;dap1OCM1: selfCorrection(Fe:fsp1OCMFB1);;;;;;
fsp2AUFCV16;p2;p1;;ninety seven george washington ; ninety seven ;;dap2AUF16: autoPositive(Fe:fsp2AUFFB16);;;;;;;;;;
fsp2TSKCV10;p2;p1;;; george washington ;dap2TSK10: guess;;;;;;;;;;;
fsp1TSMCV18;p1;p2;;is that your final guess ; is that your final guess ;;;;;;;;;;dap1TSM18:taskManagement:propositionalQuestion;;
"fsp2TUMCV12;fsp2TIMCV10";p2;p1;;uhm ninety seven uhm washington or bill clinton i'm not sure he's alive ; uhm ;;;;dap2TUM12: turnAccept;dap2TIM10: stalling;;;;;;;
"fsp2AUFCV17;fsp2TIMCV11";p2;p1;;; ninety seven ;;dap2AUF17: autoPositive(Fe:fsp2AUFFB17);;;dap2TIM11: stalling;;;;;;;
"fsp2TUMCV13;fsp2TIMCV12";p2;p1;;; uhm ;;;;dap2TUM13: turnKeep;dap2TIM12: stalling;;;;;;;
fsp2TSKCV11;p2;p1;;; washington or bill clinton ;dap2TSK11: guess;;;;;;;;;;;
fsp2TSKCV12;p2;p1;;; im not sure hes alive ;dap2TSK12: inform[uncertain] {elaboration dap2TSK11};;;;;;;;;;;
fsp1TSMCV19;p1;p2;;so please give a guess or ask another question you have four left ; so please give a guess ;;;;;;;;;;dap1TSM19:taskManagement:request;;
fsp1TSMCV20;p1;p2;;; or ask another question ;;;;;;;;;;dap1TSM20:taskManagement:request;;
fsp1TSMCV21;p1;p2;;; you have four left ;;;;;;;;;;dap1TSM21:taskManagement:inform {motivate dap1TSM20};;
"fsp2TUMCV14;fsp2DISCV1";p2;p1;;so did you have an affair with Monica Lewinsky ; so ;;;;dap2TUM14: turnKeep;;;;dap2DIS1: interactionStructuring;;;;
fsp2TSKCV13;p2;p1;;; did you have an affair with Monica Lewinsky ;dap2TSK13: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV9;p1;p2;;i did not ; i did not ;dap1TSK9: propositionalAnswer(Fu:dap2TSK13);;;;;;;;;;;
fsp2TSKCV14;p2;p1;;so you are not Bill Clinton ; so you are not Bill Clinton ;dap2TSK14: guess;;;;;;;;;;;
"fsp1TUMCV15;fsp1TIMCV13";p1;p2;;uhm i am not bill clinton ; uhm ;;;;dap1TUM15: turnAccept;dap1TIM13: stalling;;;;;;;
fsp1TSKCV10;p1;p2;;; i am not bill clinton ;dap1TSK10: disconfirm(Fu:dap2TSK14);;;;;;;;;;;
fsp2AUFCV18;p2;p1;;correct uuh ; correct uuh ;;dap2AUF18: autoPositive(Fe:fsp2AUFFB18);;;;;;;;;;
fsp1TSKCV11;p1;p2;;I am george washington ; I am george washington ;dap1TSK11: inform;;;;;;;;;;;
fsp2AUFCV19;p2;p1;;oh my first guess was correct ok ; oh ;;dap2AUF19: autoPositive[annoyed](Fe:fsp2AUFFB19);;;;;;;;;;
fsp2TSMCV3;p2;p1;;; my first guess was correct ;;;;;;;;;;dap2TSM3:taskManagement:inform;;
fsp2AUFCV20;p2;p1;;; ok ;;dap2AUF20: autoPositive;;;;;;;;;;
fsp1TSMCV22;p1;p2;;it was ; it was ;;;;;;;;;;dap1TSM22:taskManagement:agreement(Fu:dap2TSM3);;
fsp2TSMCV4;p2;p1;;you confused me ; you confused me ;;;;;;;;;;dap2TSM4:taskManagement:inform[negative];;
fsp1SOMCV5;p1;p2;;i'm sorry but i'm sorry but i'm sorry but you'll do better next time you'll do better next time we get to do lots of rounds we get to do lots of rounds ; im sorry but ;;;;;;;;;dap1SOM5: apology(Fe:fsp1SOMFB5);;;
fsp1OCMCV2;p1;p2;;; im sorry but ;;;;;;dap1OCM2: selfCorrection(Fe:fsp1OCMFB2);;;;;;
fsp1SOMCV6;p1;p2;;; im sorry ;;;;;;;;;dap1SOM6: apology;;;
fsp1SOMCV7;p1;p2;;; but youll do better next time ;;;;;;;;;dap1SOM7: inform[encouraging] {contrast dap1SOM6};;;
fsp1DISCV4;p1;p2;;; youll do better next time we get to do lots of rounds ;;;;;;;;dap1DIS4: closing;;;;
fsp1TSMCV23;p1;p2;;; we get to do lots of rounds ;;;;;;;;;;dap1TSM23:taskManagement:inform;;
fsp2AUFCV21;p2;p1;;okay hopefully hopefully okay ; okay hopefully hopefully ;;dap2AUF21: autoPositive(Fe:fsp2AUFFB21);;;;;;;;;;
fsp2SOMCV5;p2;p1;;; okay ;;;;;;;;;dap2SOM5: acceptApology(Fu:dap1SOM6);;;