Markables;Sender;Addressee;other Ps;Turn transcription;FS text;Task;autoFeedback;alloFeedback;turnManagement;timeManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement;other;Comments;
"fsp1TUMCV0;fsp1CTMCV0";p1;p2;;alright alright hello again hello again ; alright ;;;;dap1TUM0: turnTake;;;;;;dap1CTM0:contactManagement:contactIndication;;
fsp1DISCV0;p1;p2;;; alright hello again ;;;;;;;;dap1DIS0: opening;;;;
fsp1SOMCV0;p1;p2;;; hello again ;;;;;;;;;dap1SOM0: initGreeting;;;
"fsp2DISCV0;fsp2SOMCV0;fsp2CTMCV0";p2;p1;;hello ; hello ;;;;;;;;dap2DIS0: opening (Fu:dap1DIS0);dap2SOM0: returnGreeting (Fu:dap1SOM0);dap2CTM0:contactManagement:contactIndication;;
fsp1TSMCV0;p1;p2;;are you ready to continue ; are you ready to continue ;;;;;;;;;;dap1TSM0:taskManagement:propositionalQuestion;;
fsp2TSMCV0;p2;p1;;yes i am ; yes i am ;;;;;;;;;;dap2TSM0:taskManagement:propositionalAnswer (Fu:dap1TSM0);;
"fsp1AUFCV0;fsp1ALFCV0";p1;p2;;great uh do you remember all of the rules or do you have any questions ; great ;;dap1AUF0: autoPositive (Fe:fsp1AUFFB0);dap1ALF0: alloPositive (Fe:fsp1ALFFB0);;;;;;;;;
"fsp1TUMCV1;fsp1TIMCV0";p1;p2;;; uh ;;;;dap1TUM1: turnKeep;dap1TIM0: stalling;;;;;;;
fsp1TSMCV1;p1;p2;;; do you remember all of the rules or do you have any questions ;;;;;;;;;;dap1TSM1:taskManagement:choiceQuestion;;
"fsp2TUMCV0;fsp2TIMCV0";p2;p1;;uh yes and no to the other question ; uh ;;;;dap2TUM0: turnAccept;dap2TIM0: stalling;;;;;;;
fsp2TSMCV1;p2;p1;;; yes and no to the other question ;;;;;;;;;;dap2TSM1:taskManagement:setAnswer (Fu:dap1TSM1);;
"fsp1AUFCV1;fsp1ALFCV1";p1;p2;;okay so you know all of the rules ; okay ;;dap1AUF1: autoPositive (Fe:fsp1AUFFB1);dap1ALF1: alloPositive (Fe:fsp1ALFFB1);;;;;;;;;
fsp1AUFCV2;p1;p2;;; so you know all of the rules ;;dap1AUF2: checkQuestion (Fe:fsp1AUFFB2);;;;;;;;;;
fsp2ALFCV0;p2;p1;;yes i do ; yes i do ;;;dap2ALF0: confirm (Fu:dap1AUF2);;;;;;;;;
"fsp1AUFCV3;fsp1ALFCV2";p1;p2;;great alright let's go ahead and get started then what is your first question ; great ;;dap1AUF3: autoPositive (Fe:fsp1AUFFB3);dap1ALF2: alloPositive (Fe:fsp1ALFFB2);;;;;;;;;
fsp1TUMCV2;p1;p2;;; alright ;;;;dap1TUM2: turnKeep;;;;;;;;
fsp1TSMCV2;p1;p2;;; lets go ahead and get started then ;;;;;;;;;;dap1TSM2:taskManagement:suggest;;
"fsp1TSKCV0;fsp1TSMCV3";p1;p2;;; what is your first question ;dap1TSK0: setQuestion;;;;;;;;;dap1TSM3:taskManagement:request;;
"fsp2TUMCV1;fsp2TIMCV1";p2;p1;;uh what are you famous for ; uh ;;;;dap2TUM1: turnAccept;dap2TIM1: stalling;;;;;;;
"fsp2TSKCV0;fsp2TSMCV2";p2;p1;;; what are you famous for ;dap2TSK0: setQuestion (Fu:dap1TSK0);;;;;;;;;dap2TSM2:taskManagement:acceptRequest (Fu:dap1TSM3);;
"fsp1TUMCV3;fsp1TIMCV1";p1;p2;;uhm i am famous for being one of the wealthiest and most powerful women in western europe during the middle ages ; uhm ;;;;dap1TUM3: turnAccept;dap1TIM1: stalling;;;;;;;
fsp1TSKCV1;p1;p2;;; i am famous for being one of the wealthiest and most powerful women in western europe during the middle ages ;dap1TSK1: setAnswer (Fu:dap2TSK0);;;;;;;;;;;
fsp2AUFCV0;p2;p1;;$LAUGH are you part of the royalty or were you part of the royalty rather ; $LAUGH ;;dap2AUF0: autoPositive (Fe:fsp2AUFFB0);;;;;;;;;;
fsp2TSKCV1;p2;p1;;; are you part of the royalty or were you part of the royalty rather ;dap2TSK1: choiceQuestion;;;;;;;;;;;
fsp1TSKCV2;p1;p2;;yes i was ; yes i was ;dap1TSK2: answer (Fu:dap2TSK1);;;;;;;;;;;
fsp2TSKCV2;p2;p1;;which country $UNINTELLIGIBLE yeah ; which country $UNINTELLIGIBLE ;dap2TSK2: setQuestion;;;;;;;;;;;
fsp2TIMCV2;p2;p1;;; yeah ;;;;;dap2TIM2: pausing;;;;;;;
"fsp1TUMCV4;fsp1TIMCV2";p1;p2;;uh france ; uh ;;;;dap1TUM4: turnAccept;dap1TIM2: stalling;;;;;;;
fsp1TSKCV3;p1;p2;;; france ;dap1TSK3: setAnswer (Fu:dap2TSK2);;;;;;;;;;;
fsp2AUFCV1;p2;p1;;france uh okay do I know any French which during which years exactly did you reign ; france ;;dap2AUF1: autoPositive (Fe:fsp2AUFFB1);;;;;;;;;;
"fsp2TUMCV2;fsp2TIMCV3";p2;p1;;; uh ;;;;dap2TUM2: turnKeep;dap2TIM3: stalling;;;;;;;
"fsp2AUFCV2;fsp2TUMCV3";p2;p1;;; okay ;;dap2AUF2: autoPositive (Fe:fsp2AUFFB2);;dap2TUM3: turnKeep;;;;;;;;
fsp2AUFCV3;p2;p1;;; do I know any French which ;;dap2AUF3: autoPositive (Fe:fsp2AUFFB3);;;;;;;;;;
fsp2TSKCV3;p2;p1;;; during which years exactly did you reign ;dap2TSK3: setQuestion;;;;;;;;;;;
"fsp1TUMCV5;fsp1TIMCV3";p1;p2;;uhm could you clarify ; uhm ;;;;dap1TUM5: turnAccept;dap1TIM3: stalling;;;;;;;
fsp1AUFCV4;p1;p2;;; could you clarify ;;dap1AUF4: autoNegative (Fe:fsp1AUFFB4);;;;;;;;;;
fsp2ALFCV1;p2;p1;;okay uh while you were at the peak of your power which position did you occupy in the country uh which position ; okay ;;;dap2ALF1: acceptRequest (Fu:dap1AUF4);;;;;;;;;
"fsp2TUMCV4;fsp2TIMCV4";p2;p1;;; uh ;;;;dap2TUM4: turnKeep;dap2TIM4: stalling;;;;;;;
fsp2TSKCV4;p2;p1;;; while you were at the peak of your power which position did you occupy in the country ;dap2TSK4: setQuestion;;;;;;;;;;;
"fsp2TUMCV5;fsp2TIMCV5";p2;p1;;; uh ;;;;dap2TUM5: turnKeep;dap2TIM5: stalling;;;;;;;
fsp2OCMCV0;p2;p1;;; which position ;;;;;;dap2OCM0: selfCorrection (Fe:fsp2OCMFB0);;;;;;
"fsp1TUMCV6;fsp1TIMCV4";p1;p2;;uhm i was the queen consort of france and later the queen consort of england ; uhm ;;;;dap1TUM6: turnAccept;dap1TIM4: stalling;;;;;;;
fsp1TSKCV4;p1;p2;;; i was the queen consort of france and later the queen consort of england ;dap1TSK4: setAnswer (Fu:dap2TSK4);;;;;;;;;;;
"fsp2AUFCV4;fsp2TUMCV6";p2;p1;;okay and during which year were you the queen consort of england uhm years ; okay ;;dap2AUF4: autoPositive (Fe:fsp2AUFFB4);;dap2TUM6: turnTake;;;;;;;;
fsp2TSKCV5;p2;p1;;; and during which year were you the queen consort of england ;dap2TSK5: setQuestion;;;;;;;;;;;
"fsp2TUMCV7;fsp2TIMCV6";p2;p1;;; uhm ;;;;dap2TUM7: turnKeep;dap2TIM6: stalling;;;;;;;
fsp2OCMCV1;p2;p1;;; years ;;;;;;dap2OCM1: selfCorrection (Fe:fsp2OCMFB1);;;;;;
fsp1TSKCV5;p1;p2;;from eleven fifty four to eleven eighty nine ; from eleven fifty four to eleven eighty nine ;dap1TSK5: setAnswer (Fu:dap2TSK5);;;;;;;;;;;
"fsp2AUFCV5;fsp2TUMCV8";p2;p1;;okay uh wait now how do i ask that how do now that does not work okay how did you die ; okay ;;dap2AUF5: autoPositive (Fe:fsp2AUFFB5);;dap2TUM8: turnTake;;;;;;;;
"fsp2TUMCV9;fsp2TIMCV7";p2;p1;;; uh ;;;;dap2TUM9: turnKeep;dap2TIM7: stalling;;;;;;;
fsp2TIMCV8;p2;p1;;; wait ;;;;;dap2TIM8: request;;;;;;;
fsp2AUFCV6;p2;p1;;; now how do i ask that ;;dap2AUF6: autoPositive;;;;;;;;;;
fsp2OCMCV2;p2;p1;;; how do ;;;;;;dap2OCM2: selfCorrection (Fe:fsp2OCMFB2);;;;;;
fsp2AUFCV7;p2;p1;;; now that does not work ;;dap2AUF7: autoNegative (Fe:fsp2AUFFB7);;;;;;;;;;
"fsp2TUMCV10;fsp2TIMCV9";p2;p1;;; okay ;;;;dap2TUM10: turnKeep;dap2TIM9: stalling;;;;;;;
fsp2TSKCV6;p2;p1;;; how did you die ;dap2TSK6: setQuestion;;;;;;;;;;;
"fsp1TUMCV7;fsp1TIMCV5";p1;p2;;just a minute i don't have an answer to that question ; just a minute ;;;;dap1TUM7: turnAccept;dap1TIM5: pausing;;;;;;;
fsp1AUFCV5;p1;p2;;; i dont have an answer to that question ;;dap1AUF5: inform (Fe:fsp1AUFFB5);;;;;;;;;;
fsp2AUFCV8;p2;p1;;okay who was your husband during your time as queen regent of england ; okay ;;dap2AUF8: autoPositive (Fe:fsp2AUFFB8);;;;;;;;;;
fsp2TSKCV7;p2;p1;;; who was your husband during your time as queen regent of england ;dap2TSK7: setQuestion;;;;;;;;;;;
"fsp1TUMCV8;fsp1TIMCV6";p1;p2;;uh just a minute i was uh just a second uh just a second yes SIL i was married to henry duke of normandy who became king henry the second of england SIL i was uhm king ; uh ;;;;dap1TUM8: turnAccept;dap1TIM6: stalling;;;;;;;
"fsp1TUMCV9;fsp1TIMCV7";p1;p2;;; just a minute ;;;;dap1TUM9: turnKeep;dap1TIM7: pausing;;;;;;;
fsp1TSKCV6;p1;p2;;; i was ;dap1TSK6: setAnswer (Fu:dap2TSK7);;;;;;;;;;;
fsp1TUMCV10;p1;p2;;; uh just a second ;;;;dap1TUM10: turnKeep;;;;;;;;
fsp1TIMCV8;p1;p2;;; uh ;;;;;dap1TIM8: stalling;;;;;;;
fsp1TIMCV9;p1;p2;;; just a second ;;;;;dap1TIM9: pausing;;;;;;;
fsp1AUFCV6;p1;p2;;; yes ;;dap1AUF6: autoPositive (Fe:fsp1AUFFB6);;;;;;;;;;
fsp1TSKCV7;p1;p2;;; SIL i was married to henry duke of normandy who became king henry the second of england ;dap1TSK7: setAnswer (Fu:dap2TSK7);;;;;;;;;;;
fsp1OCMCV0;p1;p2;;; SIL i was ;;;;;;dap1OCM0: selfCorrection (Fe:fsp1OCMFB0);;;;;;
"fsp1TUMCV11;fsp1TIMCV10";p1;p2;;; uhm ;;;;dap1TUM11: turnKeep;dap1TIM10: stalling;;;;;;;
fsp1OCMCV1;p1;p2;;; king ;;;;;;dap1OCM1: selfCorrection (Fe:fsp1OCMFB1);;;;;;
"fsp2AUFCV9;fsp2TUMCV11";p2;p1;;ok uhm what are you most known for in history of humankind if it's not too general for a question ; ok ;;dap2AUF9: autoPositive (Fe:fsp2AUFFB9);;dap2TUM11: turnTake;;;;;;;;
"fsp2TUMCV12;fsp2TIMCV10";p2;p1;;; uhm ;;;;dap2TUM12: turnKeep;dap2TIM10: stalling;;;;;;;
fsp2TSKCV8;p2;p1;;; what are you most known for in history of humankind ;dap2TSK8: setQuestion;;;;;;;;;;;
"fsp2TSKCV9;fsp2TSMCV3";p2;p1;;; if its not too general for a question ;dap2TSK9: inform [conditional] {explain dap2TSK8};;;;;;;;;dap2TSM3:taskManagement:inform {elaboration dap2TSK8};;
fsp1ALFCV3;p1;p2;;that is a very good question i'm not sure if i can answer it give me just a second not sure that i can fully answer that question ; that is a very good question ;;;dap1ALF3: alloPositive (Fe:fsp1ALFFB3);;;;;;;;;
fsp1AUFCV7;p1;p2;;; im not sure if i can answer it ;;dap1AUF7: inform [uncertain] (Fe:fsp1AUFFB7);;;;;;;;;;
"fsp1TUMCV12;fsp1TIMCV11";p1;p2;;; give me just a second ;;;;dap1TUM12: turnKeep;dap1TIM11: request;;;;;;;
fsp1AUFCV8;p1;p2;;; not sure that i can fully answer that question ;;dap1AUF8: inform [uncertain] (Fe:fsp1AUFFB8);;;;;;;;;;
"fsp2AUFCV10;fsp2TUMCV13";p2;p1;;okay can you name one thing that many people know that you did ; okay ;;dap2AUF10: autoPositive (Fe:fsp2AUFFB10);;dap2TUM13: turnTake;;;;;;;;
fsp2TSKCV10;p2;p1;;; can you name one thing that many people know that you did ;dap2TSK10: setQuestion;;;;;;;;;;;
"fsp1TUMCV13;fsp1TIMCV12";p1;p2;;mh i was married to two kings and i participated in the second crusade while queen of france ; mh ;;;;dap1TUM13: turnAccept;dap1TIM12: stalling;;;;;;;
fsp1TSKCV8;p1;p2;;; i was married to two kings and i participated in the second crusade while queen of france ;dap1TSK8: setAnswer (Fu:dap2TSK10);;;;;;;;;;;
"fsp2AUFCV11;fsp2TUMCV14";p2;p1;;okay uh uh did you have any religious epiphanies ; okay ;;dap2AUF11: autoPositive (Fe:fsp2AUFFB11);;dap2TUM14: turnTake;;;;;;;;
"fsp2TUMCV15;fsp2TIMCV11";p2;p1;;; uh ;;;;dap2TUM15: turnKeep;dap2TIM11: stalling;;;;;;;
"fsp2TUMCV16;fsp2TIMCV12";p2;p1;;; uh ;;;;dap2TUM16: turnKeep;dap2TIM12: stalling;;;;;;;
fsp2TSKCV11;p2;p1;;; did you have any religious epiphanies ;dap2TSK11: propositionalQuestion;;;;;;;;;;;
"fsp1TUMCV14;fsp1TIMCV13";p1;p2;;uhm ; uhm ;;;;dap1TUM14: turnAccept;dap1TIM13: stalling;;;;;;;
"fsp2TSKCV12;fsp2OCMCV3";p2;p1;;documented ; documented ;dap2TSK12: propositionalQuestion {elaboration dap2TSK11};;;;;dap2OCM3: selfCorrection (Fe:fsp2OCMFB3);;;;;;
fsp1AUFCV9;p1;p2;;i don't have an answer to that question ; i dont have an answer to that question ;;dap1AUF9: inform (Fe:fsp1AUFFB9);;;;;;;;;;
"fsp2AUFCV12;fsp2TUMCV17";p2;p1;;okay uhm are you more famous for your time in england or in france ; okay ;;dap2AUF12: autoPositive (Fe:fsp2AUFFB12);;dap2TUM17: turnTake;;;;;;;;
"fsp2TUMCV18;fsp2TIMCV13";p2;p1;;; uhm ;;;;dap2TUM18: turnKeep;dap2TIM13: stalling;;;;;;;
fsp2TSKCV13;p2;p1;;; are you more famous for your time in england or in france ;dap2TSK13: choiceQuestion;;;;;;;;;;;
"fsp1TSKCV9;fsp1AUFCV10";p1;p2;;unfortunately i'm not sure how to answer that question ; unfortunately im not sure how to answer that question ;dap1TSK9: answer [uncertain] (Fu:dap2TSK13);dap1AUF10: inform [uncertain] (Fe:fsp1AUFFB10);;;;;;;;;;
fsp2TSKCV14;p2;p1;;are you considered a hero by some ; are you considered a hero by some ;dap2TSK14: propositionalQuestion;;;;;;;;;;;
fsp1TSKCV10;p1;p2;;that is possible but i don't have a answer to that question ; that is possible ;dap1TSK10: propositionalAnswer [uncertain] (Fu:dap2TSK14);;;;;;;;;;;
fsp1AUFCV11;p1;p2;;; but i dont have a answer to that question ;;dap1AUF11: inform (Fe:fsp1AUFFB11) {contrast dap1TSK10};;;;;;;;;;
"fsp2AUFCV13;fsp2TUMCV19";p2;p1;;okay uhm ; okay ;;dap2AUF13: autoPositive (Fe:fsp2AUFFB13);;dap2TUM19: turnTake;;;;;;;;
"fsp2TUMCV20;fsp2TIMCV14";p2;p1;;; uhm ;;;;dap2TUM20: turnKeep;dap2TIM14: stalling;;;;;;;
fsp1SOMCV1;p1;p2;;sorry ; sorry ;;;;;;;;;dap1SOM1: apology (Fu:dap1TSK10);;;
"fsp2ALFCV2;fsp2SOMCV1";p2;p1;;yeah you're not giving me a lot to work with ; yeah ;;;dap2ALF2: alloPositive (Fe:fsp2ALFFB2);;;;;;dap2SOM1: acceptApology (Fu:dap1SOM1);;;
fsp2ALFCV3;p2;p1;;; youre not giving me a lot to work with ;;;dap2ALF3: alloNegative (Fe:fsp2ALFFB3);;;;;;;;;
fsp1AUFCV12;p1;p2;;I know ; I know ;;dap1AUF12: agreement (Fu:dap2ALF3);;;;;;;;;;
"fsp2AUFCV14;fsp2TUMCV21";p2;p1;;okay uhm wait no questions regarding the name are not allowed yeah uhm ; okay ;;dap2AUF14: autoPositive (Fe:fsp2AUFFB14);;dap2TUM21: turnTake;;;;;;;;
"fsp2TUMCV22;fsp2TIMCV15";p2;p1;;; uhm ;;;;dap2TUM22: turnKeep;dap2TIM15: stalling;;;;;;;
fsp2TIMCV16;p2;p1;;; wait ;;;;;dap2TIM16: request;;;;;;;
fsp2TSKCV15;p2;p1;;; no ;dap2TSK15: correction (Fu:dap2307) {elaboration da};;;;;;;;;;;
fsp2TSMCV4;p2;p1;;; questions regarding the name are not allowed ;;;;;;;;;;dap2TSM4:taskManagement:checkQuestion;;
fsp2AUFCV15;p2;p1;;; yeah ;;dap2AUF15: autoPositive (Fe:fsp2AUFFB15);;;;;;;;;;
"fsp2TUMCV23;fsp2TIMCV17";p2;p1;;; uhm ;;;;dap2TUM23: turnKeep;dap2TIM17: stalling;;;;;;;
fsp1TSMCV4;p1;p2;;no ; no ;;;;;;;;;;dap1TSM4:taskManagement:confirm (Fu:dap2TSM4);;
"fsp2TUMCV24;fsp2TIMCV18";p2;p1;;uhm uhm uhm nah i don't think i know her ; uhm ;;;;dap2TUM24: turnKeep;dap2TIM18: stalling;;;;;;;
"fsp2TUMCV25;fsp2TIMCV19";p2;p1;;; uhm ;;;;dap2TUM25: turnKeep;dap2TIM19: stalling;;;;;;;
"fsp2TUMCV26;fsp2TIMCV20";p2;p1;;; uhm ;;;;dap2TUM26: turnKeep;dap2TIM20: stalling;;;;;;;
fsp2AUFCV16;p2;p1;;; nah i dont think i know her ;;dap2AUF16: inform (Fe:fsp2AUFFB16);;;;;;;;;;
fsp1AUFCV13;p1;p2;;mkay would you like me to tell you the answer ; mkay ;;dap1AUF13: autoPositive (Fe:fsp1AUFFB13);;;;;;;;;;
fsp1TSMCV5;p1;p2;;; would you like me to tell you the answer ;;;;;;;;;;dap1TSM5:taskManagement:offer;;
fsp2TSMCV5;p2;p1;;yeah sure go ahead ; yeah sure ;;;;;;;;;;dap2TSM5:taskManagement:acceptOffer (Fu:dap1TSM5);;
fsp2TSMCV6;p2;p1;;; go ahead ;;;;;;;;;;dap2TSM6:taskManagement:request;;
"fsp1TSMCV6;fsp1TUMCV15";p1;p2;;alright my name is eleanor of aquitaine ; alright ;;;;dap1TUM15: turnAccept;;;;;;dap1TSM6:taskManagement:acceptRequest (Fu:dap2TSM6);;
fsp1TSKCV11;p1;p2;;; my name is eleanor of aquitaine ;dap1TSK11: inform;;;;;;;;;;;
fsp2AUFCV17;p2;p1;;yeah I know ; know ;;dap2AUF17: autoPositive (Fe:fsp2AUFFB17);;;;;;;;;;
"fsp1ALFCV4;fsp1TUMCV16;fsp1DISCV1";p1;p2;;alright well good try though and maybe next time ; alright ;;;dap1ALF4: alloPositive (Fe:fsp1ALFFB4);dap1TUM16: turnTake;;;;dap1DIS1: interactionStructuring;;;;
"fsp1ALFCV5;fsp1SOMCV2";p1;p2;;; well good try though ;;;dap1ALF5: alloPositive;;;;;;dap1SOM2: inform [encouraging];;;
"fsp1DISCV2;fsp1SOMCV3";p1;p2;;; and maybe next time ;;;;;;;;dap1DIS2: closing;dap1SOM3: inform [encouraging];;;