Task;autoFeedback;alloFeedback;turnManagement;ownCommunicationManagement;partnerCommunicationManagement;discourseStructuring;socialObligationsManagement
;;;;;;da1: opening;da2: initialGreeting
;;;;;;da3: offer;
;;;;;;da4: acceptOffer (Fu: da3);
da5: inform;;;;;;;
da6: inform {Expand: Expander da5};;;;;;;
;da7: autoPositive (Fe: da6);;;;;;
;;;da8: turnTake;;;;
da10: inform {Cause: Reason da5};;;;;;;
;da11: autoPositive (Fe: da10);;;;;;
;;;da12: turnTake;;;;
da14: inform;;;;;;;
;;;da15: turnKeep;;;;
da17: inform;;;;;;;
;;;;;;;
;;;da18: turnKeep;;;;
;da19: autoPositive (Fe: da17);;;;;;
;;;;;;;
;;;da20: turnKeep;;;;
;da21: autoPositive (Fe: da19);;da22: turnTake;;;;
da23: propositionalQuestion;;;;;;;
da24: answer (Fu: da23);;;;;;;
;da25: autoPositive (Fe: da24);;;;;;
;;;da26: turnTake;;;;
;;;;;;;
da27: instruct;;;;;;;
;da28: autoPositive (Fe: da27);;;;;;
da29: choiceQuestion;;;da30: turnAssign;;;;
;;;da31: turnAccept;;;;
da33: answer (Fu: da29);;;;;;;
;da34: autoPositive (Fe: da33);;;;;;
da35: checkQuestion;;;;;;;
;;;;;da36: completion (Fe: da35);;
;da37: autoPositive (Fe: da36);;;;;;
da38: setQuestion;;;;;;;
;;;da39: turnTake;;;;
;;;;;;;
da42: answer (Fu: da38);;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
da46: answer (Fu: da38);;;;;;;
;da47: autoPositive (Fe: da46);;da48: turnTake;;;;
;da49: autoPositive (Fe: da46);;;;;;
da50: inform;;;;;;;
;da51: autoPositive (Fe: da50);;;;;;
da52: inform;;;;;;;
;da53: autoPositive (Fe: da52);;;;;;
;;;da54: turnTake;;;;
;;;;;;;
;;;;da56: pausing;;;
;;;;;;da57: inform;
;;;;da58: selfCorrection;;;
;;;;;;;
da60: inform;;;;;;;
;da61: autoPositive (Fe: da60);;;;;;
;;;da62: turnTake;;;;
;da64: autoPositive (Fe: da60);;;;;;
;;;da65: turnKeep;;;;
da66: inform;;;;;;;
;da67: autoPositive (Fe: da66);;;;;;
;;;da68: turnKeep;;;;
da69: inform;;;;;;;
da70: selfCorrection;;;;;;;
da71: selfCorrection;;;;;;;
da72: inform;;;;;;;
;da73: autoPositive (Fe: da72);;;;;;
da74: inform;;;;da75: selfCorrection (Fe: da72);;;
;;;;;;;
;;;da77: turnKeep;;;;
da78: inform;;;;;;;
;da79: autoPositive (Fe: da78);;;;;;
;;;da80: turnKeep;;;;
da81: inform;;;;;;;
da82: setQuestion;;;;;;;
;;;da83: turnTake;;;;
da85: answer (Fu: da82);;;;;;;
;da86: autoPositive (Fe: da85);;;;;;
;;;da88: turnKeep;;;;
da90: inform;;;;;;;
da91: inform;;;;;;;
;;;da93: turnKeep;;;;
da94: inform;;;;;;;
;;;;;;da95: interactionStructuring [happiness];
;;;;;;da96: inform;
;;;;;;da1: opening;da2: initialGreeting
;;;;;;da3: offer;
;;;;;;da4: acceptOffer (Fu: da3);
da5: stalling;;;;;;;
da6: inform;;;;;;;
;;;da7: turnKeep;;;;
;;;;;;;
da9: inform [uncertain];;;;;;;
da10: inform {Cause: Reason da9};;;;;;;
;;;da11: turnKeep;;;;
;;;;da13: selfCorrection (Fe: da10);;;
;;;da14: turnKeep;;;;
da15: setQuestion;;;da16: turnAssign;;;;
da17: answer (Fu: da15);;;;;;;
da18: checkQuestion;;;da19: turnAssign;;;;
da20: confirm (Fu: da18);;;;;;;
;da21: autoPositive (Fe: da20);;da22: turnTake;;;;
;;;da23: turnKeep;;;;
;;;;;;;
da25: checkQuestion;;;;;;;
;;;da26: turnKeep;;;;
da28: confirm (Fu: da25);;;;;;;
da29: inform;;;;;;;
;;;da30: turnKeep;;;;
da31: inform {Cause: Result da 29};;;;;;;
;da32: autoPositive (Fe: da31);;;;;;
;da33: autoPositive (Fe: da32);;;;;;
;da34: autoPositive (Fe: da32);;;;;;
;;;da35: turnKeep;;;;
da36: suggest;;;;;;;
;;;;da37: selfError (Fe: da36);;;
;;;da38: turnKeep;;;;
da40: suggest;;;;;;;
;;;da41: turnKeep;;;;
da43: setQuestion;;;;;;;
;;;;da44: selfCorrection (Fe: da43);;;
;da45: autoPositive (Fe: da44);;da46: turnTake;;;;
da47: answer (Fu: da43, da44);;;;;;;
da48: inform {Elab: Specific da47};;;;;;;
;da49: autoPositive (Fe: da48);;;;;;
;da50: autoPositive (Fe: da48);;;;;;
;;;;da51: selfError (Fe: da50);;;
da52: inform;;;;;;;
;;;;;;;
;da53: autoPositive (Fe: da52);;;;;;
da54:  inform;;;;;;;
;;;da55: turnKeep;;;;
da57: inform;;;;da58: selfCorrection (Fe: da54);;;
;;;;da59: retraction;;;
da60: setQuestion;;;;;;;
da61: answer (Fu: da60);;;;;;;
;da62: autoPositive [surprise] (Fe: da61);;;;;;
;;;da63: turnKeep;;;;
da64: inform;;;;;;;
;;;da65: turnKeep;;;;
da67: inform;;;;;;;
;;;;da68: retraction;;;
da69: setQuestion;;;;;;;
da70: checkQuestion;;;;;;;
da71: answer (Fu:  da69);;;;;;;
;da72: autoPositive [surprise] (Fe: da71);;;;;;
da73: setQuestion;;;;;;;
;;;;;;;
da75: answer (Fu: da73);;;;;;;
;da75: autoPositive (Fe: da75);;;;;;
da77: inform {Cause: Result da75};;;;;;;
;;;;;;;
;;;;;;;
da78: inform {Elab: Specific da77};;;;;;;
;;;;;;;
;;;;;;;
;;;da79: turnKeep;;;;
;;;;;;;
da81: inform {Cause: Reason da78};;;;;;;
da82: agreement (Fu: da81);;;;;;;
;da83: autoPositive (Fe: da82);;da84: turnTake;;;;
;;;da85: turnKeep;;;;
da86: inform;;;;;;;
;;;da87: turnKeep;;;;
da88: setQuestion;;;;;;;
da89: answer (Fu: da88);;;;;;;
;da90: autoPositive (Fe: da89);;;;;;
da91: SetQuestion;;;;;;;
da92: answer (Fu: da91);;;;;;;
;da93: autoPositive (Fe: da92);;da94: turnTake;;;;
da95: checkQuestion;;;da96: turnAssign;;;;
da97: confirm (Fu: da95);;;;;;;
;da99: autoPositive (Fe: da87);;da99: turnTake;;;;
da100: inform;;;;;;;
;;;da101: turnKeep;;;;
da102: inform;;;;;;;
;;;da103: turnKeep;;;;
da104: inform;;;;;;;
;;;da105: turnKeep;;;;
da106: inform;;;;;;;
da107: checkQuestion;;;;;;;
da108: confirm (Fu: da107);;;;;;;
;da109: autoPositive (Fe: da108);;da110: turnTake;;;;
;;;da111: turnKeep;;;;
;;;da112: turnKeep;;;;
;;;da113: turnKeep;;;;
da115: inform;;;;;;;
da116: agreement (Fu: da115);;;;;;;
;;;da117: turnTake;;;;
;;;;;;;
da118: request;;;da119: turnAssign;;;;
da120: acceptRequest (Fu: da118);;;da121: turnAccept;;;;
da122: inform;;;;;;;
;;da123: alloPositive (Fe: da122);;;;;
da124: inform {Cause: Result da122};;;;;;;
;;;;;;da125: interactionStructuring;
;;;;;;da1: opening;
;;;;;;da2: offer;
;;;;;;da3: acceptOffer (Fu: da2);
da4: inform;;;;;;;
;da5: autoPositive (Fe: da4);;;;;;
da6: inform {Expand: Expander da4};;;;;;;
;da7: autoPositive (Fe: da6);;;;;;
da8: inform {Expand: Expander da4};;;;;;;
;;;;;;;
;da10: autoPositive (Fe: da8);;;;;;
da11: setQuestion;;;;;;;
;;;;;;;
da13: answer (Fu: da11);;;;;;;
;da14: autoPositive (Fe: da13);;;;;;
da15: inform {Cause: Result da13};;;;;;;
;da16: autoPositive (Fe: da15);;;;;;
;;;da17: turnKeep;;;;
da19: setQuestion;;;;;;;
da20: answer (Fe: da19);;;;;;;
;da21: autoPositive (Fe: da20);;;;;;
;;;da22: turnTake;;;;
;;;;;;;
;;;;;;;
da24: propositionalQuestion;;;;;;;
;;;;;;;
;;;;da26: selfCorrection;;;
da27: answer (Fu: da24);;;;;;;
;da28: autoPositive (Fe: da27);;;;;;
da29: inform {Cause: Result da27};;;;;;;
;da30: autoPositive (Fe: da29);;;;;;
;;;da31: turnTake;;;;
da32: setQuestion;;;;;;;
da33: confirm (Fu: da32);;;;;;;
;;;;;;da34: interactionStructuring;
;;;;;;;
da36: checkQuestion;;;;;;;
da37: confirm (Fu: da36);;;;;;;
da38: setQuestion;;;;;;;
da39: answer (Fu: da38);;;;;;;
;;;;;;da40: interactionStructuring;
;;;;;;da41: interactionStructuring;